7655,,,
city,address,longitude,latitude
Cary North Carolina 27513,Weston Parkway,-78.770159,35.827435
Westminster Colorado 80030,Westminster B-N,-105.030174,39.830385
Westminster California 926833706,Westminster - Goldenwest,-118.007141,33.758621
Las Vegas Nevada 89102,Westland Fair,-115.17376,36.147977
Westlake Ohio 441451950,Westlake Promenade,-81.925507,41.459919
Seattle Washington 98101,Westlake Center Kiosk,-122.329454,47.60358
Daly City California 94015,Westlake Center - Daly City,-122.479667,37.681039
Seattle Washington 98101,Westlake Center,-122.337419,47.6129
Westlake California 91361,Westlake,-118.851917,34.115942
Denver Colorado 80202,Westin Tabor Center - Lobby,-104.995609,39.7506
Atlanta Georgia 30303,Westin Peachtree Plaza - Lobby,-84.389912,33.754397
Las Vegas Nevada 89109,Westin Las Vegas,-115.172769,36.103545
Indianapolis Indiana 46204,Westin Indianapolis - Lobby,-86.149964,39.76691
Boston Massachusetts 02116,Westin Hotel Copley,-71.056699,42.358635
Arlington Virginia 22203,Westin Arlington Lobby,-77.113139,38.868455
Houston Texas 77063,Westheimer Voss (B-N),-95.506119,29.751115
Houston Texas 77077,Westheimer - Royal Oaks Club Drive,-95.611789,29.751279
Houston Texas 77056,Westheimer - Post Oak,-95.471879,29.74004
Houston Texas 77063,Westheimer - Fondren,-95.535524,29.737245
San Jose California 95129,Westgate Shopping Center,-122.00113,37.306478
Tacoma Washington 98407,Westgate,-122.512844,47.298725
Westford Massachusetts 01886,Westford Valley Marketplace,-71.437077,42.582622
Wheaton Maryland 20902,Westfield - Wheaton,-77.047962,39.04231
Westfield Massachusetts 01085,Westfield  East Main St,-72.824772,42.222614
Westfield New Jersey 07090,Westfield,-74.340988,40.640135
Westerville Ohio 43018,Westerville,-82.683259,39.95731
Western Springs Illinois 60558,Western Springs,-87.911519,41.80992
San Pedro California 90732,Western - Westmont  San Pedro,-118.309457,33.747845
Los Angeles California 900471126,Western - Slauson  (UCO) - Reloc.,-118.245003,34.05331
San Pedro California 90732,Western - 25th,-118.306204,33.722035
Newport Beach California 92660,Westcliff Plaza,-117.904769,33.62576
Los Angeles California 90045,Westchester,-118.394213,33.95461
Westbury New York 11590,Westbury II,-73.586829,40.757105
Westbury New York 11590,Westbury,-73.569754,40.758295
Austin Texas 78746,Westbank Market,-97.787939,30.276188
Chicago Illinois 60602,West Washington,-87.631649,41.88322
West St. Paul Minnesota 55118,West St. Paul-Robert - Thompson,-93.105869,44.89804
Cleveland Ohio 44113,West Sixth Street,-81.698934,41.500085
Seattle Washington 98116,West Seattle,-122.394759,47.57426
West Roxbury Massachusetts 02132,West Roxbury- Roche Bros.,-71.157144,42.283285
Roseville California 95747,West Roseville,-121.35835,38.727705
Maryland Heights Missouri 63146,West Port Plaza - St. Louis,-90.445559,38.702565
Westport Connecticut 06880,West Port,-73.357134,41.16277
Los Angeles California 90064,West Pico Boulevard,-118.415929,34.04699
Lake Worth Florida 33411,West Palm Travel Plaza,-80.208909,26.709305
Atlanta Georgia 30327,West Paces Ferry,-84.424299,33.849541
Houston Texas 77077,West Oaks (B-N),-95.648409,29.729595
Milwaukee Wisconsin 53214,West Milwaukee-Miller Park Way,-87.967482,43.01516
Woodland California 95695,West Main - Hwy 16 - Woodland,-121.872372,38.668966
West Linn Oregon 97068,West Linn,-122.632809,45.367535
West Hollywood California 90069,West Hollywood II,-118.379428,34.09776
West Hollywood California 90069,West Hollywood - #633,-118.381289,34.09165
Portland Oregon 97232,West Hollywood,-122.621984,45.52643
West Hills California 91307,West Hills,-118.641441,34.200042
Richmond Virginia 23294,West End Shops,-77.544871,37.63285
Nashville Tennessee 37203,West End Ave - 30th Ave So,-86.815014,36.14479
West Dundee Illinois 60118,West Dundee-Rte. 31 Rte 31 - Rte 72,-88.289669,42.088085
West Covina California 91790,West Covina (B-N),-117.939374,34.069725
Des Peres Missouri 63131,West County Mall Kiosk,-90.447818,38.603017
West Chester Pennsylvania 19380,West Chester - Five Points,-75.629361,39.967662
West Caldwell New Jersey 07006,West Caldwell,-74.274469,40.837894
Arroyo Grande California 93420,West Branch - Rancho Parkway,-120.53269,35.134604
West Bend Wisconsin 53095,West Bend-Main - Paradise,-88.088649,43.42595
Aurora Illinois 60506,West Aurora-Orchard - Indian Trail,-88.355779,41.77008
Chicago Illinois 60614,West Armitage,-87.656324,41.91807
West Allis Wisconsin 53227,West Allis-108th - National,-88.047374,42.983155
Chicago Illinois 60613,West Addison,-87.640599,41.949856
Chicago Illinois 60603,West Adams,-87.630064,41.87944
New York New York 10019,West 55th - 7th,-73.976524,40.762345
New York New York 10019,West 43rd and Broadway,-73.986139,40.75657
New York New York 10011,West 23rd and 8th,-73.998489,40.7453
Thousand Oaks California 91320,Wendy Drive - 101 Fwy  Thousand Oak,-118.922349,34.18419
Wellington Florida 334143120,Wellington Mall,-80.243439,26.663191
Wellington Florida 33414,Wellington Green,-80.216915,26.648722
London Ontario N6C 2V1,Wellington - Commissioners - D T,-81.246214,42.986895
Wellesley Massachusetts 02482,Wellesley,-71.304054,42.292451
Fort Lewis Washington 984335000,Welcome Center- Waller Hall,-87.131607,38.657261
Anaheim Hills California 928081249,Weir Canyon - Monte Vista,-117.745041,33.864227
Webster Groves Missouri 63119,Webster Groves,-90.33732,38.570862
Milwaukee Wisconsin 53212,Webster - Downer,-87.909474,43.07106
Alameda California 94501,Webster - Atlantic - Alameda,-122.262819,37.77105
East Grand Rapids Michigan 49506,Wealthy Street,-85.62301,42.95473
Waynesboro Virginia 22980,Waynesboro,-78.89098,38.06547
Detroit Michigan 48202,Wayne State University,-83.06459,42.356121
Wayne New Jersey 07470,Wayne Rt. 23,-74.268729,40.928465
Wayne Pennsylvania 10987,Wayne,-74.186034,41.191821
Providence Rhode Island 02906,Wayland Sq. Providence,-71.411994,41.823875
Wayland Massachusetts 01778,Wayland,-71.340931,42.329819
Wauwatosa Wisconsin 532264215,Wauwatosa-Mayfair - I-94,-88.046837,43.031574
Wauwatosa Wisconsin 53213,Wauwatosa,-88.007404,43.067785
Wausau Wisconsin 544014230,Wausau,-89.630287,44.95953
Brookfield Wisconsin 53186,Waukesha Hwy 18,-88.172919,43.034009
Waukegan Illinois 60085,Waukegan-Waukegan - Lakehurst,-87.860629,42.359525
Sacramento California 95821,Watt - Kings Way - Sacramento,-121.382989,38.62343
North Highlands California 95660,Watt - I-80 - North Highlands,-121.379412,38.643449
Waterville Maine 04903,Waterville  Maine,-69.631349,44.552795
Watertown Massachusetts 02172,Watertown - Mt. Auburn,-71.187879,42.367615
Watertown Connecticut 06795,Watertown,-73.119393,41.604893
Tampa Florida 33634,Waters - Anderson,-82.531759,28.025645
San Bernadino California 92408,Waterman-Hospitality  SanBernardino,-117.241024,34.07756
Waterloo Ontario N2J 2Z6,Waterloo   Chapters,-80.526871,43.48616
Waterford Michigan 48327,Waterford,-83.389331,42.669843
Grand Rapids Michigan 49512,Waterfall Shoppes,-85.568512,42.90955
Gaithersburg Maryland 20850,Washingtonian Waterfront,-77.15124,39.081665
Seattle Washington 98101,Washington State Convention Center,-122.335847,47.610588
Portland Oregon 97223,Washington Square Too,-122.765754,45.425788
North Canton Ohio 447203335,Washington Square Marketplace,-81.402061,40.875549
Tigard Oregon 97223,Washington Square III,-122.765754,45.425788
Tigard Oregon 97223,Washington Square,-122.765754,45.425788
Seattle Washington 98104,Washington Shoe Building,-122.329454,47.60358
Richland Washington 99352,Washington Plaza Richland,-119.273729,46.274065
Pico Rivera California 90660,Washington - Rosemead  Pico Rivera,-118.104314,33.98706
Culver City California 90232,Washington - Overland - Culver City,-118.392265,34.020095
Santa Clara California 95050,Washington - Linden - Santa Clara,-121.954262,37.355509
Whittier California 90606,Washington - Lambert  Whittier,-118.060699,33.969525
Marina Del Rey California 90292,Washington - Del Rey  Culver City,-118.453429,33.981216
Culver City California 902322722,Washington - Culver,-118.40255,33.998119
Chicago Illinois 60661,Washington - Clinton,-87.645164,41.88314
La Quinta California 922532853,Washington - Calle Tampico  La Quin,-116.297211,33.678158
Murrieta California 925622267,Washington - Calle Del Oso Oro  Mur,-117.236893,33.571377
Pasadena California 911041647,Washington - Allen  Pasadena,-118.144241,34.147228
Palm Desert California 922118006,Washington - 42nd. Ave.  Palm Deser,-116.380318,33.728931
Washington Township Pennsylvania 15301,Washington  PA,-80.263684,40.17606
Warwick  Rhode Island 02386,Warwick-Baldhill Rd.,-71.46166,41.69856
Warrenville Illinois 60555,Warrenville-Winfield - Diehl,-88.187519,41.82476
Warrenton Virginia 20187,Warrenton,-77.741889,38.735686
Warren New Jersey 07059,Warren,-74.465065,40.657098
Burbank California 91505,Warner Brothers Studio,-118.346249,34.16812
Burbank California 91505,Warner Bros Studio Plaza Lobby,-118.308124,34.18147
Gilbert Arizona 85234,Warner - Cooper Road,-111.741519,33.36413
Huntington Beach California 926477364,Warner - Beach  Huntington Beach,-118.063049,33.711586
Fremont California 94539,Warm Springs Plaza - Fremont,-121.931214,37.492945
Henderson Nevada 890148811,Warm Springs - Julia  Henderson,-114.98111,36.0308
Lynchburg Virginia 24502,Wards Road,-79.191619,37.335055
Markham Ontario L3R 5Y2,Warden - Steeles - Markham,-79.339942,43.856034
Kansas City Missouri 64114,Ward Parkway,-94.603766,38.993705
Spokane Washington 99218,Wandermere-Relocation,-117.401434,47.75017
Spokane Washington 99208,Wandermere,-117.405788,47.784357
Auburn Hills Michigan 48326,Walton - Squirrel,-83.251364,42.678235
Huntington Station New York 11746,Walt Whitman Mall,-73.41198,40.826038
Irvine California 92714,Walnut Village,-117.770314,33.688895
